up_new,Descrizione,G1a,G1b,G2a,G2b,G3a,G3b,G4a,G4b,G5a,G5b,G6a,G6b,G7a,G7b,G8a,G8b,G9a,G9b,G10a,G10b,G11a,G11b,G12a,G12b,G13a,G13b,G14a,G14b,G15a,G15b,G16a,G16b,G17a,G17b,G18a,G18b,G19a,G19b,G20a,G20b,G21a,G21b,G22a,G22b,G23a,G23b,G24a,G24b,G25a,G25b,G26a,G26b,G27a,G27b,G28a,G28b,G29a,G29b,G30a,G30b,G31a,G31b,G32a,G32b,G33a,G33b,G34a,G34b,G35a,G35b,G36a,G36b,G37a,G37b,G38a,G38b,G39a,G39b,G40a,G40b,G41a,G41b
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,100,82.8571428571,75,65.7142857143,45,51.4285714286,15,17.1428571429,30,25.7142857143,65,71.4285714286,70,71.4285714286,70,62.8571428571,60,60,70,68.5714285714,55,60,65,68.5714285714,70,65.7142857143,55,60,65,65.7142857143,0,0,5,5.7142857143,0,0,50,51.4285714286,0,0,5,5.7142857143,0,0,0,0,40,40,40,40,70,71.4285714286,80,80,90,80,30,31.4285714286,20,20,65,68.5714285714,65,57.1428571429,65,62.8571428571,70,68.5714285714,35,45.7142857143,45,45.7142857143,45,51.4285714286,70,68.5714285714,35,37.1428571429,10,17.1428571429,25,28.5714285714
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,68.3333333333,62.8571428571,45,47.619047619,23.3333333333,21.9047619048,1.6666666667,3.8095238095,16.6666666667,16.1904761905,35,39.0476190476,41.6666666667,41.9047619048,41.6666666667,49.5238095238,41.6666666667,51.4285714286,53.3333333333,58.0952380952,46.6666666667,46.6666666667,55,61.9047619048,51.6666666667,60.9523809524,53.3333333333,61.9047619048,51.6666666667,60,16.6666666667,17.1428571429,3.3333333333,3.8095238095,0,0,45,41.9047619048,0,0,0,0,0,0,0,0,33.3333333333,40.9523809524,35,39.0476190476,45,52.380952381,45,57.1428571429,53.3333333333,60.9523809524,31.6666666667,37.1428571429,0,0,43.3333333333,49.5238095238,45,52.380952381,46.6666666667,56.1904761905,50,57.1428571429,26.6666666667,30.4761904762,41.6666666667,55.2380952381,40,49.5238095238,38.3333333333,45.7142857143,28.3333333333,28.5714285714,23.3333333333,28.5714285714,35,46.6666666667
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,72.5,71.4285714286,56.25,54.2857142857,42.5,40.7142857143,17.5,17.1428571429,21.25,21.4285714286,55,55,61.25,57.8571428571,48.75,45.7142857143,61.25,57.8571428571,87.5,75.7142857143,58.75,53.5714285714,63.75,59.2857142857,71.25,70,73.75,72.1428571429,73.75,69.2857142857,3.75,3.5714285714,3.75,4.2857142857,0,0,48.75,37.1428571429,1.25,1.42855,3.75,4.9999571429,0,0,0,0,37.5,34.2857142857,55,49.2857142857,76.25,68.5714285714,81.25,75,85,75,40,37.1428571429,2.5,2.8571214286,57.5,57.1428571429,38.75,35.7142857143,58.75,54.2857142857,65,61.4285714286,31.25,30.7142857143,58.75,57.1428571429,48.75,42.8571428571,41.25,41.4285714286,25,24.2857142857,7.5,9.2856928571,50,45
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,84.2105263158,78.1954887218,68.4210526316,66.9172932331,57.8947368421,60.1503759398,3.9473684211,4.5112556391,31.5789473684,30.8270676692,57.8947368421,58.6466165414,53.9473684211,54.1353383459,46.0526315789,50.3759398496,61.8421052632,61.6541353383,92.1052631579,77.4436090226,61.8421052632,64.6616541353,73.6842105263,68.4210526316,90.7894736842,80.4511278195,68.4210526316,62.4060150376,73.6842105263,69.1729323308,0,0,0,0,1.3157894737,1.5037593985,31.5789473684,35.3383458647,0,0,13.1578947368,10.5263157895,0,0,0,0,36.8421052632,39.0977443609,50,50.3759398496,84.2105263158,76.6917293233,81.5789473684,78.9473684211,86.8421052632,79.6990977444,31.5789473684,33.8345864662,6.5789473684,7.5187744361,76.3157894737,67.6691729323,60.5263157895,57.1428571429,64.4736842105,66.9172932331,63.1578947368,60.9022556391,31.5789473684,32.3308270677,44.7368421053,41.3533834586,34.2105263158,40.6015037594,48.6842105263,49.6240601504,35.5263157895,31.5789473684,3.9473684211,4.5112781955,46.0526315789,51.1278195489
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",98.2142857143,83.6734693878,91.0714285714,75.5102040816,28.5714285714,29.5918367347,10.7142857143,10.2040816327,75,61.2244897959,85.7142857143,75.5102040816,73.2142857143,63.2653061224,78.5714285714,63.2653061224,75,63.2653061224,96.4285714286,76.5306122449,66.0714285714,60.2040816327,69.6428571429,68.3673469388,85.7142857143,65.306122449,87.5,76.5306122449,92.8571428571,74.4897959184,0,0,3.5714285714,4.0816326531,0,0,89.2857142857,44.8979591837,0,0,66.0714285714,46.9387755102,0,0,0,0,48.2142857143,52.0408163265,94.6428571429,79.5916326531,100,78.5714285714,100,78.5714285714,100,84.693877551,35.7142857143,37.7551020408,23.2142857143,21.4285714286,98.2142857143,88.7755102041,69.6428571429,74.4897959184,100,79.5918367347,85.7142857143,71.4285714286,55.3571428571,46.9387755102,78.5714285714,64.2857142857,58.9285714286,54.0816326531,80.3571428571,82.6530612245,60.7142857143,47.9591836735,53.5714285714,50,80.3571428571,66.3265306122
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",91.3043478261,81.9875776398,72.8260869565,69.5652173913,57.6086956522,56.5217391304,10.8695652174,11.1801242236,30.4347826087,32.298136646,59.7826086957,57.1428571429,56.5217391304,54.0372670807,61.9565217391,64.5962732919,78.2608695652,77.6397515528,93.4782608696,84.4719254658,55.4347826087,56.5217391304,76.0869565217,66.4596273292,86.9565217391,79.5031055901,86.9565217391,81.3663354037,92.3913043478,81.3663354037,4.347826087,4.9689440994,3.2608695652,4.9689440994,2.1739130435,3.1055900621,45.652173913,46.5838509317,0,0,32.6086956522,26.7080745342,1.0869565217,3.1055900621,1.0869565217,1.8633540373,47.8260869565,46.5838509317,68.4782608696,59.6273291925,91.3043478261,85.0930434783,96.7391304348,87.5776397516,94.5652173913,86.9565217391,30.4347826087,31.6770186335,10.8695652174,11.801242236,79.347826087,72.049689441,38.0434782609,39.751552795,85.8695652174,83.850931677,70.652173913,69.5652173913,47.8260869565,45.9627329193,78.2608695652,73.9130434783,59.7826086957,62.1118012422,71.7391304348,69.5652173913,51.0869565217,54.0372670807,14.1304347826,15.5279503106,47.8260869565,49.0683229814
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",98.8095238095,83.6734693878,91.6666666667,76.1904761905,58.3333333333,54.4217687075,36.9047619048,27.2108843537,42.8571428571,39.4557823129,94.0476190476,78.231292517,94.0476190476,76.1902040816,85.7142857143,76.1904761905,88.0952380952,73.4693877551,100,84.3537414966,52.380952381,46.9387755102,80.9523809524,72.1088435374,83.3333333333,72.108707483,92.8571428571,78.9115646259,97.619047619,83.6734693878,10.7142857143,6.1224489796,10.7142857143,8.843537415,0,0,90.4761904762,41.4965986395,0,0,11.9047619048,10.2040816327,0,0,0,0,69.0476190476,58.5034013605,95.2380952381,82.3129251701,98.8095238095,81.6326530612,94.0476190476,82.3129251701,96.4285714286,79.5918367347,30.9523809524,27.8911564626,3.5714285714,5.4421564626,86.9047619048,76.1903401361,28.5714285714,29.9319727891,98.8095238095,80.2721088435,89.2857142857,71.4284353741,54.7619047619,44.2176870748,95.2380952381,87.074829932,67.8571428571,56.462585034,90.4761904762,82.3127891156,70.2380952381,51.7006802721,28.5714285714,25.1700680272,54.7619047619,48.9795918367
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,77.5,64.2857142857,57.5,51.4285714286,61.25,57.1428571429,2.5,2.8571214286,23.75,27.1428571429,68.75,63.5714285714,70,62.1428571429,45,45.7142857143,58.75,55.7142857143,87.5,77.1428571429,51.25,52.1428571429,73.75,67.1428571429,82.5,70.7142857143,80,70,78.75,67.1428571429,2.5,2.8571428571,1.25,1.42855,0,0,52.5,45.7142857143,0,0,3.75,4.2856928571,0,0,0,0,33.75,28.5714285714,66.25,59.2857142857,85,73.5712857143,73.75,66.4285714286,86.25,70.7142857143,27.5,23.5714285714,6.25,6.4285714286,63.75,59.2857142857,13.75,14.2857142857,77.5,68.5714285714,75,65,55,50.7142857143,76.25,67.8571428571,62.5,53.5714285714,85,72.857,43.75,45,32.5,32.8571428571,51.25,45
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,78.75,75,63.75,61.4285714286,46.25,48.5714285714,6.25,7.1428357143,46.25,43.5714285714,77.5,65.7142857143,75,65,70,63.5714285714,73.75,70.7142857143,90,78.5714285714,52.5,56.4285714286,73.75,65,78.75,70.7142857143,85,79.2855714286,83.75,77.8571428571,1.25,1.4285714286,2.5,5,1.25,2.1428571429,65,52.1428571429,0,0,15,14.2857142857,0,0,0,0,63.75,57.1428571429,73.75,70,81.25,72.8571428571,78.75,75,81.25,74.2857142857,43.75,43.5714285714,6.25,7.1428357143,77.5,72.1428571429,36.25,36.4285714286,83.75,78.5712857143,77.5,70.7142857143,62.5,60.7142857143,73.75,72.8571428571,62.5,65,72.5,67.1428571429,70,67.8571428571,51.25,42.8571428571,70,66.4285714286
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,79.6875,74.1071428571,73.4375,69.6428571429,68.75,70.5357142857,43.75,41.9642857143,53.125,45.5357142857,81.25,79.4642857143,79.6875,78.5714285714,67.1875,68.75,75,69.6428571429,89.0625,81.25,67.1875,62.5,76.5625,75,84.375,78.57125,85.9375,77.6785714286,90.625,83.9285714286,7.8125,10.7142857143,15.625,17.8571428571,0,0,68.75,58.9285714286,0,0,26.5625,25.8928571429,1.5625,1.7857142857,1.5625,1.7857142857,56.25,60.7142857143,70.3125,69.6428571429,87.5,82.1426785714,89.0625,83.0357142857,79.6875,78.5714285714,32.8125,39.2857142857,14.0625,14.2857142857,70.3125,64.2857142857,54.6875,54.4642857143,87.5,85.7142857143,85.9375,83.0357142857,53.125,59.8214285714,82.8125,82.1428571429,71.875,70.5357142857,75,75.8928571429,75,69.6428571429,25,30.3571428571,81.25,82.1428571429
