up_new,Descrizione,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,100,80,100,100,95,80,95,70,55,30,35,80,70,10,95,25,30,10,0,25,70,35,0,5,0,5,0,0,0,0,0,0,0,70,0,25,0,0,30,10,0,0,0,0,70,65,90,75,0,75,40,80,80,80,0,10,5
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,100,78.3333333333,100,100,91.6666666667,90,86.6666666667,73.3333333333,71.6666666667,11.6666666667,25,60,50,10,93.3333333333,8.3333333333,15,13.3333333333,1.6666666667,3.3333333333,51.6666666667,10,5,5,0,3.3333333333,0,0,0,1.6666666667,0,0,0,71.6666666667,0,13.3333333333,1.6666666667,3.3333333333,38.3333333333,13.3333333333,6.6666666667,18.3333333333,0,0,38.3333333333,56.6666666667,50,61.6666666667,15,73.3333333333,48.3333333333,83.3333333333,71.6666666667,70,1.6666666667,13.3333333333,5.8666666667
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,98.75,76.25,97.5,98.75,91.25,93.75,83.75,77.5,77.5,31.25,43.75,61.25,58.75,12.5,90,11.25,25,8.75,1.25,3.75,31.25,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,70,0,16.25,0,0,33.75,5,0,2.5,0,0,66.25,77.5,71.25,75,8.75,72.5,26.25,75,65,71.25,5,17.5,3.85
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,98.6842105263,75,97.3684210526,98.6842105263,96.0526315789,96.0526315789,93.4210526316,88.1578947368,81.5789473684,28.9473684211,55.2631578947,80.2631578947,75,19.7368421053,97.3684210526,2.6315789474,17.1052631579,6.5789473684,1.3157894737,2.6315789474,31.5789473684,5.2631578947,2.6315789474,0,1.3157894737,0,0,0,1.3157894737,1.3157894737,1.3157894737,0,0,77.6315789474,1.3157894737,18.4210526316,0,0,25,2.6315789474,0,13.1578947368,1.3157894737,0,64.4736842105,82.8947368421,78.9473684211,75,13.1578947368,82.8947368421,14.4736842105,81.5789473684,59.2105263158,75,1.3157894737,13.1578947368,2.9473684211
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",96.4285714286,53.5714285714,100,100,100,75,87.5,85.7142857143,83.9285714286,41.0714285714,80.3571428571,53.5714285714,39.2857142857,1.7857142857,96.4285714286,5.3571428571,3.5714285714,3.5714285714,1.7857142857,0,28.5714285714,14.2857142857,3.5714285714,3.5714285714,1.7857142857,1.7857142857,0,0,1.7857142857,0,0,0,0,73.2142857143,0,28.5714285714,0,0,25,5.3571428571,1.7857142857,5.3571428571,0,0,62.5,73.2142857143,71.4285714286,62.5,1.7857142857,91.0714285714,21.4285714286,67.8571428571,71.4285714286,78.5714285714,0,0,4.5714285714
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",89.1304347826,50,100,100,98.9130434783,96.7391304348,90.2173913043,85.8695652174,91.3043478261,65.2173913043,81.5217391304,65.2173913043,44.5652173913,13.0434782609,96.7391304348,16.3043478261,15.2173913043,5.4347826087,2.1739130435,10.8695652174,42.3913043478,4.347826087,2.1739130435,1.0869565217,2.1739130435,1.0869565217,0,0,1.0869565217,0,2.1739130435,2.1739130435,1.0869565217,78.2608695652,1.0869565217,14.1304347826,2.1739130435,2.1739130435,27.1739130435,17.3913043478,3.2608695652,5.4347826087,4.347826087,1.0869565217,73.9130434783,72.8260869565,76.0869565217,67.3913043478,26.0869565217,86.9565217391,25,77.1739130435,47.8260869565,83.6956521739,2.1739130435,10.8695652174,4.1739130435
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",98.8095238095,57.1428571429,98.8095238095,100,100,80.9523809524,90.4761904762,50,84.5238095238,72.619047619,92.8571428571,39.2857142857,22.619047619,1.1904761905,100,0,2.380952381,2.380952381,0,0,25,1.1904761905,0,0,0,0,0,0,0,0,0,0,0,95.2380952381,0,20.2380952381,0,0,19.0476190476,35.7142857143,0,38.0952380952,0,0,82.1428571429,97.619047619,91.6666666667,85.7142857143,1.1904761905,94.0476190476,35.7142857143,89.2857142857,42.8571428571,84.5238095238,0,0,4.619047619
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,91.25,45,100,100,93.75,92.5,86.25,57.5,83.75,51.25,67.5,68.75,47.5,5,97.5,0,3.75,0,0,2.5,30,5,2.5,1.25,0,0,0,0,2.5,0,0,0,0,76.25,1.25,23.75,2.5,1.25,22.5,3.75,2.5,2.5,0,0,73.75,80,73.75,72.5,17.5,82.5,28.75,77.5,52.5,78.75,2.5,12.5,4
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,88.75,53.75,100,100,100,95,86.25,70,83.75,75,78.75,70,52.5,11.25,97.5,0,1.25,1.25,0,1.25,30,2.5,2.5,0,0,0,0,0,0,0,0,0,0,78.75,0,20,0,1.25,32.5,20,1.25,1.25,0,0,60,82.5,71.25,71.25,23.75,80,18.75,78.75,58.75,83.75,1.25,7.5,4.1
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,90.625,70.3125,96.875,98.4375,96.875,87.5,95.3125,85.9375,90.625,79.6875,89.0625,50,50,7.8125,95.3125,28.125,34.375,25,1.5625,23.4375,34.375,12.5,15.625,7.8125,10.9375,4.6875,1.5625,4.6875,3.125,10.9375,9.375,6.25,4.6875,70.3125,14.0625,18.75,6.25,3.125,32.8125,23.4375,6.25,18.75,4.6875,1.5625,75,89.0625,92.1875,73.4375,21.875,79.6875,26.5625,75,48.4375,76.5625,6.25,9.375,4
