up_new,Descrizione,C1a,C1B,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,C6a,C6b,C7a,C7b,C8a,C8b,C9a,C9b,C10a,C10b,C11a,C11b,C12a,C12b,C13a,C13b,C14a,C14b,C15a,C15b,C16a,C16b,C17a,C17b,C18a,C18b,C19a,C19b,C20a,C20b,C21a,C21b,C22a,C22b,C23a,C23b,C24a,C24b,C25a,C25b,C26a,C26b,C27a,C27b,C28a,C28b,C29a,C29b,C30a,C30b,C31a,C31b,C32a,C32b,C33a,C33b,C34a,C34b,C35a,C35b
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,95,68.5714285714,95,74.2857142857,90,62.8571428571,95,77.1428571429,40,40,30,25.7142857143,85,80,80,71.4285714286,40,40,45,57.1428571429,90,77.1428571429,75,77.1428571429,85,82.8571428571,75,71.4285714286,40,40,65,62.8571428571,65,71.4285714286,60,62.8571428571,5,5.7142857143,35,37.1428571429,0,0,0,0,5,5.7142857143,0,0,5,11.4285714286,0,0,35,31.4285714286,0,0,25,34.2857142857,25,31.4285714286,50,54.2857142857,80,62.8571428571,50,48.5714285714,25,31.4285714286,40,45.7142857143
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,85,71.4285714286,71.6666666667,70.4761904762,78.3333333333,73.3333333333,85,77.1428571429,16.6666666667,22.8571428571,16.6666666667,18.0952380952,63.3333333333,56.1904761905,63.3333333333,60,51.6666666667,48.5714285714,45,47.619047619,53.3333333333,54.2857142857,51.6666666667,56.1904761905,40,40.9523809524,46.6666666667,48.5714285714,35,34.2857142857,45,48.5714285714,51.6666666667,56.1904761905,36.6666666667,44.7619047619,5,3.8094952381,18.3333333333,21.9047619048,0,0,0,0,5,5.7142857143,0,0,0,0,0,0,18.3333333333,20,0,0,18.3333333333,21.9047619048,18.3333333333,22.8571428571,33.3333333333,40,45,56.1904761905,51.6666666667,60,30,37.1428571429,53.3333333333,56.1904761905
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,76.25,70,82.5,75.7142857143,68.75,67.8571428571,85,78.5714285714,28.75,32.8571428571,18.75,19.2857142857,72.5,67.8571428571,72.5,63.5714285714,51.25,50,62.5,57.8571428571,83.75,71.4284285714,80,73.5714285714,76.25,72.1428571429,80,75.7142857143,43.75,40.7142857143,68.75,67.1428571429,83.75,74.2857142857,55,54.2857142857,15,13.5714285714,30,26.4285714286,1.25,2.1428571429,0,0,26.25,26.4285714286,0,0,1.25,1.42855,0,0,31.25,29.2857142857,0,0,30,36.4285714286,27.5,31.4285714286,68.75,66.4285714286,77.5,69.2857142857,62.5,60.7142857143,23.75,25.7142857143,52.5,49.2857142857
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,90.7894736842,83.4586466165,96.0526315789,81.954887218,85.5263157895,82.7067669173,94.7368421053,84.962406015,34.2105263158,36.8421052632,32.8947368421,36.0902255639,86.8421052632,80.4511278195,88.1578947368,81.2030075188,55.2631578947,56.3909774436,64.4736842105,66.1654135338,82.8947368421,74.4360902256,82.8947368421,75.9396992481,86.8421052632,80.4511278195,93.4210526316,84.2105263158,47.3684210526,49.6240601504,86.8421052632,79.6992481203,86.8421052632,77.4436090226,61.8421052632,60.1503759398,9.2105263158,12.030075188,27.6315789474,29.3233082707,0,0,0,0,22.3684210526,22.5563909774,0,0,3.9473684211,4.5112781955,3.9473684211,4.5112781955,18.4210526316,16.5413533835,2.6315789474,3.007518797,42.1052631579,45.8646616541,35.5263157895,45.1127819549,73.6842105263,67.6691729323,73.6842105263,66.1654135338,69.7368421053,69.1729323308,31.5789473684,32.3308270677,51.3157894737,48.8721804511
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",100,85.7142857143,98.2142857143,83.6734693878,100,81.6326530612,96.4285714286,86.7346938776,33.9285714286,32.6530612245,39.2857142857,30.612244898,92.8571428571,81.6326530612,91.0714285714,75.5102040816,66.0714285714,58.1632653061,91.0714285714,76.5306122449,87.5,70.4081632653,94.6428571429,85.7142857143,89.2857142857,83.6734693878,100,88.7755102041,75,65.306122449,89.2857142857,74.4897959184,91.0714285714,76.5306122449,66.0714285714,58.1632653061,10.7142857143,14.2857142857,41.0714285714,39.7959183673,1.7857142857,2.0408163265,0,0,19.6428571429,22.4489795918,0,0,17.8571428571,19.387755102,1.7857142857,2.0408163265,21.4285714286,22.4489795918,0,0,19.6428571429,21.4285714286,21.4285714286,22.4489795918,91.0714285714,75.5102040816,89.2857142857,65.306122449,80.3571428571,69.387755102,51.7857142857,39.7959183673,96.4285714286,72.4489795918
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",95.652173913,81.3664596273,90.2173913043,83.850931677,90.2173913043,81.9875776398,91.3043478261,82.6086956522,29.347826087,34.1614906832,17.3913043478,18.0124223602,83.6956521739,78.2608695652,85.8695652174,78.2608695652,51.0869565217,53.4161490683,82.6086956522,79.5029813665,88.0434782609,80.7452173913,88.0434782609,83.850931677,77.1739130435,73.2919254658,94.5652173913,85.0931677019,58.6956521739,61.4906832298,79.347826087,75.7763975155,90.2173913043,81.3664596273,64.1304347826,60.248447205,15.2173913043,15.5279503106,45.652173913,44.099378882,2.1739130435,3.1055714286,1.0869565217,0.6211180124,32.6086956522,29.8136645963,2.1739130435,1.8633540373,8.6956521739,10.5590062112,1.0869565217,1.2422173913,27.1739130435,27.3291925466,1.0869565217,1.8633540373,41.3043478261,44.7204968944,39.1304347826,40.9937888199,75,71.4285714286,86.9565217391,80.7452173913,50,50.3105590062,41.3043478261,44.7204968944,88.0434782609,80.1240993789
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",96.4285714286,81.6326530612,96.4285714286,82.3129251701,97.619047619,74.1496598639,100,77.5510204082,41.6666666667,35.3741496599,34.5238095238,31.9727891156,97.619047619,81.6326530612,92.8571428571,77.5510204082,91.6666666667,74.8299319728,97.619047619,80.9523809524,95.2380952381,74.1496598639,100,89.7959183673,71.4285714286,66.6666666667,92.8571428571,77.5510204082,89.2857142857,68.0270748299,88.0952380952,76.1903401361,98.8095238095,80.9523809524,66.6666666667,55.7823129252,1.1904761905,2.0408163265,47.619047619,41.4965986395,0,0,0,0,50,41.4965986395,0,0,2.380952381,2.7210884354,0,0,51.1904761905,46.2585034014,0,0,69.0476190476,63.2653061224,69.0476190476,63.2653061224,98.8095238095,80.2721088435,95.2380952381,75.5100680272,57.1428571429,57.1428571429,63.0952380952,54.4217687075,98.8095238095,80.2721088435
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,88.75,77.1428571429,82.5,73.5714285714,85,75,87.5,76.4285714286,30,32.1428571429,23.75,24.2857142857,81.25,74.2857142857,82.5,73.5714285714,65,62.8571428571,85,74.2857142857,76.25,66.4285714286,80,73.5714285714,73.75,72.1428571429,86.25,74.2857142857,66.25,62.1428571429,66.25,63.5714285714,83.75,77.8571428571,67.5,63.5714285714,12.5,15.7142857143,48.75,45,1.25,2.8571428571,2.5,2.8571428571,35,32.8571428571,0,0,1.25,1.42855,0,0,18.75,18.5714285714,0,0,28.75,29.2857142857,27.5,27.8571428571,78.75,68.5714285714,82.5,72.1428571429,52.5,55.7142857143,30,34.2857142857,85,75.7142857143
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,92.5,79.2857142857,83.75,77.1428571429,88.75,78.5714285714,83.75,79.2857142857,38.75,42.8571428571,40,34.2857142857,82.5,76.4285714286,82.5,70,76.25,69.2857142857,81.25,77.1428571429,81.25,72.8571428571,81.25,74.2857142857,68.75,67.8571428571,80,73.5714285714,73.75,67.8571428571,77.5,73.5714285714,85,72.1428571429,77.5,73.5714285714,23.75,24.2857142857,46.25,52.1428571429,3.75,4.2857142857,5,8.5714071429,35,36.4285714286,0,0,0,0,0,0,22.5,25.7142857143,0,0,38.75,38.5714285714,38.75,41.4285714286,70,66.4285714286,77.5,71.4285714286,66.25,70,48.75,49.2857142857,86.25,79.9998571429
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,89.0625,75.8928571429,87.5,79.4642857143,89.0625,85.7142857143,79.6875,80.3571428571,45.3125,49.1071428571,62.5,62.5,84.375,80.3571428571,71.875,72.3214285714,67.1875,66.0714285714,85.9375,83.0355357143,75,76.7857142857,89.0625,80.3571428571,67.1875,66.9642857143,81.25,79.4642857143,65.625,66.0714285714,70.3125,70.5357142857,82.8125,77.6785714286,71.875,63.3928571429,28.125,33.9285714286,51.5625,56.25,9.375,16.0714285714,1.5625,4.4642857143,40.625,47.3214285714,4.6875,6.25,20.3125,23.2142857143,17.1875,19.6428571429,40.625,39.2857142857,4.6875,4.4642589286,45.3125,42.8571428571,45.3125,42.8571428571,82.8125,81.25,82.8125,79.4642857143,89.0625,83.0357142857,68.75,68.75,79.6875,75.8928571429
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",95.8333333333,90.4761904762,100,85.7142857143,95.8333333333,88.0952380952,91.6666666667,78.5714285714,37.5,40.4761904762,41.6666666667,38.0952380952,87.5,83.3333333333,95.8333333333,76.1904761905,79.1666666667,76.1904761905,95.8333333333,85.7142857143,87.5,78.5714285714,87.5,88.0952380952,75,73.8095238095,95.8333333333,83.3333333333,70.8333333333,64.2857142857,95.8333333333,85.7142857143,95.8333333333,88.0952380952,70.8333333333,69.0476190476,16.6666666667,19.0476190476,50,54.7619047619,0,0,0,0,50,52.380952381,0,0,33.3333333333,28.5714285714,0,0,58.3333333333,54.7619047619,0,0,54.1666666667,59.5238095238,66.6666666667,64.2857142857,91.6666666667,80.9523809524,91.6666666667,76.1904761905,91.6666666667,78.5714285714,45.8333333333,40.4761904762,87.5,80.9523809524
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",97.2222222222,84.126984127,95.8333333333,84.9206349206,95.8333333333,86.5079365079,97.2222222222,86.5079365079,47.2222222222,50,55.5555555556,46.0317460317,93.0555555556,82.5396825397,91.6666666667,80.1587301587,77.7777777778,74.6031746032,87.5,82.5396825397,84.7222222222,72.2222222222,84.7222222222,81.746031746,75,70.6349206349,87.5,83.3331746032,70.8333333333,68.253968254,86.1111111111,76.1903174603,94.4444444444,80.9523809524,54.1666666667,54.7619047619,20.8333333333,16.6666666667,43.0555555556,38.8888888889,2.7777777778,3.1745793651,4.1666666667,4.7619047619,38.8888888889,38.0952380952,1.3888888889,2.380952381,12.5,11.1111111111,1.3888888889,1.5873015873,26.3888888889,24.6031746032,0,0,50,49.2063492063,54.1666666667,53.1746031746,88.8888888889,79.3650793651,88.8888888889,81.746031746,83.3333333333,76.1903174603,36.1111111111,36.5079365079,84.7222222222,81.746031746
1.1.2.4.3,Direttori generali ed equiparati nella sanità,85.2941176471,78.1512605042,83.8235294118,78.9914285714,83.8235294118,79.8319327731,88.2352941176,84.0336134454,32.3529411765,42.8571428571,42.6470588235,40.3361344538,83.8235294118,78.9915966387,75,72.268907563,52.9411764706,58.8235294118,82.3529411765,82.3529411765,64.7058823529,67.2268907563,73.5294117647,69.7478991597,75,73.9495798319,80.8823529412,75.6302521008,50,52.9411764706,66.1764705882,68.9075630252,80.8823529412,80.6722689076,67.6470588235,68.0672268908,2.9411764706,4.2016554622,33.8235294118,35.2941176471,4.4117647059,4.2016554622,2.9411764706,2.5210084034,27.9411764706,26.8907563025,1.4705882353,1.6806470588,1.4705882353,1.6806470588,2.9411764706,3.3613445378,10.2941176471,8.4033613445,1.4705882353,1.6806470588,54.4117647059,56.3025210084,61.7647058824,62.1848739496,76.4705882353,73.9495798319,75,73.9495798319,85.2941176471,81.512605042,60.2941176471,63.8655462185,77.9411764706,78.9915966387
